variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
kospi_ma60,mixed,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL,0.05003710139581116
kospi_ma60,bull,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL,0.5665013136057774
kospi_ma60,bull,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,1.368497999617459
adaptive,bull,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.43097169703557603
adaptive,bull,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2796015899375021
adaptive,mixed,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP,0.6741733425439157
adaptive,bull,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.6817603145796336
adaptive,bull,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.524114510503124
adaptive,bull,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.28209358832621345
adaptive,mixed,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-29,-0.030696793002915453,MAX,0.29749295517792995
adaptive,mixed,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-12,0.27616666666666667,MAX,0.5930122789953284
adaptive,bull,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.36926920283112136
adaptive,bull,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,1.45551004784013
adaptive,bull,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.5944537689954211
adaptive,bull,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,1.454384352972773
adaptive,bull,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,1.3485594456740644
adaptive,bull,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,1.3060007390170436
adaptive,mixed,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL,0.3820647199659678
